rok,obec,scenar_id,scenar_nazev,pocet_domacnosti,spotreba_MWh_rok,podil_vhodnych_strech_procent,instalovany_vykon_kWp,baterie_kapacita_kWh,vodik_ano_ne,sobestacnost_procent,riziko_nestability_0_100,uspora_kc_domacnost_rok,co2_uspory_t_rok
2028,Dolni_Jiretin,S00,Baseline – bez zásahu,60,177.3,43.8,22.0,0.0,0,3.9,27.8,8.0,9.7
2029,Dolni_Jiretin,S00,Baseline – bez zásahu,60,176.4,43.8,22.0,0.0,0,3.9,27.8,8.0,9.7
2030,Dolni_Jiretin,S00,Baseline – bez zásahu,60,175.5,43.8,22.0,0.0,0,3.9,27.9,8.0,9.7
2031,Dolni_Jiretin,S00,Baseline – bez zásahu,60,174.6,43.8,22.0,0.0,0,4.0,27.9,8.0,9.7
2032,Dolni_Jiretin,S00,Baseline – bez zásahu,60,173.7,43.8,22.0,0.0,0,4.0,28.0,8.0,9.7
2033,Dolni_Jiretin,S00,Baseline – bez zásahu,60,172.8,43.8,22.0,0.0,0,4.0,28.0,8.0,9.7
2034,Dolni_Jiretin,S00,Baseline – bez zásahu,60,171.9,43.8,22.0,0.0,0,4.0,28.1,8.0,9.7
2035,Dolni_Jiretin,S00,Baseline – bez zásahu,60,171.0,43.8,22.0,0.0,0,4.1,28.1,8.0,9.7
2026,Most,S01,Malá FVE na úřadu,450,1432.8,43.4,235.0,0.0,0,5.2,30.9,11.0,103.6
2027,Most,S01,Malá FVE na úřadu,450,1425.6,43.4,235.0,0.0,0,5.2,31.0,11.0,103.6
2028,Most,S01,Malá FVE na úřadu,450,1418.4,43.4,235.0,0.0,0,5.2,31.0,11.0,103.6
2029,Most,S01,Malá FVE na úřadu,450,1411.2,43.4,235.0,0.0,0,5.2,31.1,11.0,103.6
2030,Most,S01,Malá FVE na úřadu,450,1404.0,43.4,235.0,0.0,0,5.3,31.2,11.0,103.6
2031,Most,S01,Malá FVE na úřadu,450,1396.8,43.4,235.0,0.0,0,5.3,31.2,11.0,103.6
2032,Most,S01,Malá FVE na úřadu,450,1389.6,43.4,235.0,0.0,0,5.3,31.3,11.0,103.6
2033,Most,S01,Malá FVE na úřadu,450,1382.4,43.4,235.0,0.0,0,5.4,31.4,11.0,103.6
2034,Most,S01,Malá FVE na úřadu,450,1375.2,43.4,235.0,0.0,0,5.4,31.5,11.0,103.6
2035,Most,S01,Malá FVE na úřadu,450,1368.0,43.4,235.0,0.0,0,5.4,31.5,11.0,103.6
2026,Litomerice,S01,Malá FVE na úřadu,280,835.8,55.2,148.0,0.0,0,5.6,31.9,11.0,65.3
2027,Litomerice,S01,Malá FVE na úřadu,280,831.6,55.2,148.0,0.0,0,5.6,32.0,11.0,65.3
2028,Litomerice,S01,Malá FVE na úřadu,280,827.4,55.2,148.0,0.0,0,5.6,32.1,11.0,65.3
2029,Litomerice,S01,Malá FVE na úřadu,280,823.2,55.2,148.0,0.0,0,5.7,32.2,11.0,65.3
2030,Litomerice,S01,Malá FVE na úřadu,280,819.0,55.2,148.0,0.0,0,5.7,32.2,11.0,65.3
2031,Litomerice,S01,Malá FVE na úřadu,280,814.8,55.2,148.0,0.0,0,5.7,32.3,11.0,65.3
2032,Litomerice,S01,Malá FVE na úřadu,280,810.6,55.2,148.0,0.0,0,5.8,32.4,11.0,65.3
2033,Litomerice,S01,Malá FVE na úřadu,280,806.4,55.2,148.0,0.0,0,5.8,32.5,11.0,65.3
2034,Litomerice,S01,Malá FVE na úřadu,280,802.2,55.2,148.0,0.0,0,5.8,32.5,11.0,65.3
2035,Litomerice,S01,Malá FVE na úřadu,280,798.0,55.2,148.0,0.0,0,5.8,32.6,11.0,65.3
2026,Zatec,S01,Malá FVE na úřadu,200,597.0,57.8,122.0,0.0,0,6.4,34.1,13.0,53.8
2027,Zatec,S01,Malá FVE na úřadu,200,594.0,57.8,122.0,0.0,0,6.5,34.2,13.0,53.8
2028,Zatec,S01,Malá FVE na úřadu,200,591.0,57.8,122.0,0.0,0,6.5,34.3,13.0,53.8
2029,Zatec,S01,Malá FVE na úřadu,200,588.0,57.8,122.0,0.0,0,6.5,34.3,13.0,53.8
2030,Zatec,S01,Malá FVE na úřadu,200,585.0,57.8,122.0,0.0,0,6.6,34.4,13.0,53.8
2031,Zatec,S01,Malá FVE na úřadu,200,582.0,57.8,122.0,0.0,0,6.6,34.5,13.0,53.8
2032,Zatec,S01,Malá FVE na úřadu,200,579.0,57.8,122.0,0.0,0,6.6,34.6,13.0,53.8
2033,Zatec,S01,Malá FVE na úřadu,200,576.0,57.8,122.0,0.0,0,6.7,34.7,13.0,53.8
2034,Zatec,S01,Malá FVE na úřadu,200,573.0,57.8,122.0,0.0,0,6.7,34.8,13.0,53.8
2035,Zatec,S01,Malá FVE na úřadu,200,570.0,57.8,122.0,0.0,0,6.7,34.9,13.0,53.8
2026,Bilina,S01,Malá FVE na úřadu,150,447.8,49.8,105.0,0.0,0,7.4,36.5,15.0,46.3
2027,Bilina,S01,Malá FVE na úřadu,150,445.5,49.8,105.0,0.0,0,7.4,36.6,15.0,46.3
2028,Bilina,S01,Malá FVE na úřadu,150,443.2,49.8,105.0,0.0,0,7.5,36.7,15.0,46.3
2029,Bilina,S01,Malá FVE na úřadu,150,441.0,49.8,105.0,0.0,0,7.5,36.8,15.0,46.3
2030,Bilina,S01,Malá FVE na úřadu,150,438.8,49.8,105.0,0.0,0,7.5,36.8,15.0,46.3
2031,Bilina,S01,Malá FVE na úřadu,150,436.5,49.8,105.0,0.0,0,7.6,36.9,15.0,46.3
2032,Bilina,S01,Malá FVE na úřadu,150,434.2,49.8,105.0,0.0,0,7.6,37.0,15.0,46.3
2033,Bilina,S01,Malá FVE na úřadu,150,432.0,49.8,105.0,0.0,0,7.7,37.1,15.0,46.3
2034,Bilina,S01,Malá FVE na úřadu,150,429.8,49.8,105.0,0.0,0,7.7,37.2,15.0,46.3
2035,Bilina,S01,Malá FVE na úřadu,150,427.5,49.8,105.0,0.0,0,7.7,37.3,15.0,46.3
2026,Vejprty,S01,Malá FVE na úřadu,80,238.8,58.8,82.0,0.0,0,10.8,45.0,22.0,36.2
2027,Vejprty,S01,Malá FVE na úřadu,80,237.6,58.8,82.0,0.0,0,10.9,45.2,22.0,36.2
2028,Vejprty,S01,Malá FVE na úřadu,80,236.4,58.8,82.0,0.0,0,10.9,45.3,22.0,36.2
2029,Vejprty,S01,Malá FVE na úřadu,80,235.2,58.8,82.0,0.0,0,11.0,45.5,22.0,36.2
2030,Vejprty,S01,Malá FVE na úřadu,80,234.0,58.8,82.0,0.0,0,11.0,45.6,22.0,36.2
2031,Vejprty,S01,Malá FVE na úřadu,80,232.8,58.8,82.0,0.0,0,11.1,45.7,22.0,36.2
2032,Vejprty,S01,Malá FVE na úřadu,80,231.6,58.8,82.0,0.0,0,11.2,45.9,22.0,36.2
2033,Vejprty,S01,Malá FVE na úřadu,80,230.4,58.8,82.0,0.0,0,11.2,46.0,22.0,36.2
2034,Vejprty,S01,Malá FVE na úřadu,80,229.2,58.8,82.0,0.0,0,11.3,46.2,22.0,36.2
2035,Vejprty,S01,Malá FVE na úřadu,80,228.0,58.8,82.0,0.0,0,11.3,46.3,22.0,36.2
2026,Dolni_Jiretin,S01,Malá FVE na úřadu,60,179.1,43.8,72.0,0.0,0,12.7,49.7,26.0,31.8
2027,Dolni_Jiretin,S01,Malá FVE na úřadu,60,178.2,43.8,72.0,0.0,0,12.7,49.8,26.0,31.8
2028,Dolni_Jiretin,S01,Malá FVE na úřadu,60,177.3,43.8,72.0,0.0,0,12.8,50.0,26.0,31.8
2029,Dolni_Jiretin,S01,Malá FVE na úřadu,60,176.4,43.8,72.0,0.0,0,12.9,50.1,26.0,31.8
2030,Dolni_Jiretin,S01,Malá FVE na úřadu,60,175.5,43.8,72.0,0.0,0,12.9,50.3,26.0,31.8
2031,Dolni_Jiretin,S01,Malá FVE na úřadu,60,174.6,43.8,72.0,0.0,0,13.0,50.5,26.0,31.8
2032,Dolni_Jiretin,S01,Malá FVE na úřadu,60,173.7,43.8,72.0,0.0,0,13.1,50.6,26.0,31.8
2033,Dolni_Jiretin,S01,Malá FVE na úřadu,60,172.8,43.8,72.0,0.0,0,13.1,50.8,26.0,31.8
2034,Dolni_Jiretin,S01,Malá FVE na úřadu,60,171.9,43.8,72.0,0.0,0,13.2,51.0,26.0,31.8
2035,Dolni_Jiretin,S01,Malá FVE na úřadu,60,171.0,43.8,72.0,0.0,0,13.3,51.2,26.0,31.8
2026,Most,S02,FVE + komunitní baterie,450,1432.8,44.1,285.0,250.0,0,11.4,12.7,25.0,125.7
2027,Most,S02,FVE + komunitní baterie,450,1425.6,44.9,385.0,500.0,0,20.4,5,44.0,169.8
2028,Most,S02,FVE + komunitní baterie,450,1418.4,44.9,385.0,500.0,0,20.5,5,44.0,169.8
2029,Most,S02,FVE + komunitní baterie,450,1411.2,44.9,385.0,500.0,0,20.6,5,44.0,169.8
2030,Most,S02,FVE + komunitní baterie,450,1404.0,44.9,385.0,500.0,0,20.7,5,44.0,169.8
2031,Most,S02,FVE + komunitní baterie,450,1396.8,44.9,385.0,500.0,0,20.8,5,44.0,169.8
2032,Most,S02,FVE + komunitní baterie,450,1389.6,44.9,385.0,500.0,0,20.9,5,44.0,169.8
2033,Most,S02,FVE + komunitní baterie,450,1382.4,44.9,385.0,500.0,0,21.1,5,44.0,169.8
2034,Most,S02,FVE + komunitní baterie,450,1375.2,44.9,385.0,500.0,0,21.2,5,44.0,169.8
2035,Most,S02,FVE + komunitní baterie,450,1368.0,44.9,385.0,500.0,0,21.3,5,44.0,169.8
2026,Litomerice,S02,FVE + komunitní baterie,280,835.8,56.0,198.0,250.0,0,17.9,5,36.0,87.3
2027,Litomerice,S02,FVE + komunitní baterie,280,831.6,56.7,298.0,500.0,0,27.1,5,55.0,131.4
2028,Litomerice,S02,FVE + komunitní baterie,280,827.4,56.7,298.0,500.0,0,27.2,5,55.0,131.4
2029,Litomerice,S02,FVE + komunitní baterie,280,823.2,56.7,298.0,500.0,0,27.4,5,55.0,131.4
2030,Litomerice,S02,FVE + komunitní baterie,280,819.0,56.7,298.0,500.0,0,27.5,5,55.0,131.4
2031,Litomerice,S02,FVE + komunitní baterie,280,814.8,56.7,298.0,500.0,0,27.6,5,55.0,131.4
2032,Litomerice,S02,FVE + komunitní baterie,280,810.6,56.7,298.0,500.0,0,27.8,5,55.0,131.4
2033,Litomerice,S02,FVE + komunitní baterie,280,806.4,56.7,298.0,500.0,0,27.9,5,55.0,131.4
2034,Litomerice,S02,FVE + komunitní baterie,280,802.2,56.7,298.0,500.0,0,28.1,5,55.0,131.4
2035,Litomerice,S02,FVE + komunitní baterie,280,798.0,56.7,298.0,500.0,0,28.2,5,55.0,131.4
2026,Zatec,S02,FVE + komunitní baterie,200,597.0,58.5,172.0,250.0,0,21.8,5,44.0,75.9
2027,Zatec,S02,FVE + komunitní baterie,200,594.0,59.3,272.0,500.0,0,34.6,5,70.0,120.0
2028,Zatec,S02,FVE + komunitní baterie,200,591.0,59.3,272.0,500.0,0,34.8,5,70.0,120.0
2029,Zatec,S02,FVE + komunitní baterie,200,588.0,59.3,272.0,500.0,0,35.0,5,70.0,120.0
2030,Zatec,S02,FVE + komunitní baterie,200,585.0,59.3,272.0,500.0,0,35.2,5,70.0,120.0
2031,Zatec,S02,FVE + komunitní baterie,200,582.0,59.3,272.0,500.0,0,35.3,5,70.0,120.0
2032,Zatec,S02,FVE + komunitní baterie,200,579.0,59.3,272.0,500.0,0,35.5,5,70.0,120.0
2033,Zatec,S02,FVE + komunitní baterie,200,576.0,59.3,272.0,500.0,0,35.7,5,70.0,120.0
2034,Zatec,S02,FVE + komunitní baterie,200,573.0,59.3,272.0,500.0,0,35.9,5,70.0,120.0
2035,Zatec,S02,FVE + komunitní baterie,200,570.0,59.3,272.0,500.0,0,36.1,5,70.0,120.0
2026,Bilina,S02,FVE + komunitní baterie,150,447.8,50.5,155.0,250.0,0,26.2,5,53.0,68.4
2027,Bilina,S02,FVE + komunitní baterie,150,445.5,51.3,255.0,500.0,0,43.3,5,87.0,112.5
2028,Bilina,S02,FVE + komunitní baterie,150,443.2,51.3,255.0,500.0,0,43.5,5,87.0,112.5
2029,Bilina,S02,FVE + komunitní baterie,150,441.0,51.3,255.0,500.0,0,43.7,5,87.0,112.5
2030,Bilina,S02,FVE + komunitní baterie,150,438.8,51.3,255.0,500.0,0,43.9,5,87.0,112.5
2031,Bilina,S02,FVE + komunitní baterie,150,436.5,51.3,255.0,500.0,0,44.2,5,87.0,112.5
2032,Bilina,S02,FVE + komunitní baterie,150,434.2,51.3,255.0,500.0,0,44.4,5,87.0,112.5
2033,Bilina,S02,FVE + komunitní baterie,150,432.0,51.3,255.0,500.0,0,44.6,5,87.0,112.5
2034,Bilina,S02,FVE + komunitní baterie,150,429.8,51.3,255.0,500.0,0,44.9,5,87.0,112.5
2035,Bilina,S02,FVE + komunitní baterie,150,427.5,51.3,255.0,500.0,0,45.1,5,87.0,112.5
2026,Vejprty,S02,FVE + komunitní baterie,80,238.8,59.5,132.0,250.0,0,41.8,5,85.0,58.2
2027,Vejprty,S02,FVE + komunitní baterie,80,237.6,60.3,232.0,500.0,0,73.8,5,149.0,102.3
2028,Vejprty,S02,FVE + komunitní baterie,80,236.4,60.3,232.0,500.0,0,74.2,5,149.0,102.3
2029,Vejprty,S02,FVE + komunitní baterie,80,235.2,60.3,232.0,500.0,0,74.6,5,149.0,102.3
2030,Vejprty,S02,FVE + komunitní baterie,80,234.0,60.3,232.0,500.0,0,75.0,5,149.0,102.3
2031,Vejprty,S02,FVE + komunitní baterie,80,232.8,60.3,232.0,500.0,0,75.3,5,149.0,102.3
2032,Vejprty,S02,FVE + komunitní baterie,80,231.6,60.3,232.0,500.0,0,75.7,5,149.0,102.3
2033,Vejprty,S02,FVE + komunitní baterie,80,230.4,60.3,232.0,500.0,0,76.1,5,149.0,102.3
2034,Vejprty,S02,FVE + komunitní baterie,80,229.2,60.3,232.0,500.0,0,76.5,5,149.0,102.3
2035,Vejprty,S02,FVE + komunitní baterie,80,228.0,60.3,232.0,500.0,0,76.9,5,149.0,102.3
2026,Dolni_Jiretin,S02,FVE + komunitní baterie,60,179.1,44.5,122.0,250.0,0,51.5,5,105.0,53.8
2027,Dolni_Jiretin,S02,FVE + komunitní baterie,60,178.2,45.3,222.0,500.0,0,94.2,5,190.0,97.9
2028,Dolni_Jiretin,S02,FVE + komunitní baterie,60,177.3,45.3,222.0,500.0,0,94.7,5,190.0,97.9
2029,Dolni_Jiretin,S02,FVE + komunitní baterie,60,176.4,45.3,222.0,500.0,0,95,5,190.0,97.9
2030,Dolni_Jiretin,S02,FVE + komunitní baterie,60,175.5,45.3,222.0,500.0,0,95,5,189.0,97.9
2031,Dolni_Jiretin,S02,FVE + komunitní baterie,60,174.6,45.3,222.0,500.0,0,95,5,188.0,97.9
2032,Dolni_Jiretin,S02,FVE + komunitní baterie,60,173.7,45.3,222.0,500.0,0,95,5,187.0,97.9
2033,Dolni_Jiretin,S02,FVE + komunitní baterie,60,172.8,45.3,222.0,500.0,0,95,5,186.0,97.9
2034,Dolni_Jiretin,S02,FVE + komunitní baterie,60,171.9,45.3,222.0,500.0,0,95,5,185.0,97.9
2035,Dolni_Jiretin,S02,FVE + komunitní baterie,60,171.0,45.3,222.0,500.0,0,95,5,184.0,97.9
2026,Most,S03,Úspory bez výroby,450,1278.6,43.4,185.0,25.0,0,5.0,27.0,10.0,81.6
2027,Most,S03,Úspory bez výroby,450,1272.2,43.4,185.0,50.0,0,5.4,24.7,10.0,81.6
2028,Most,S03,Úspory bez výroby,450,1265.8,43.4,185.0,50.0,0,5.5,24.8,11.0,81.6
2029,Most,S03,Úspory bez výroby,450,1259.4,43.4,185.0,50.0,0,5.5,24.8,10.0,81.6
2030,Most,S03,Úspory bez výroby,450,1252.9,43.4,185.0,50.0,0,5.5,24.8,10.0,81.6
2031,Most,S03,Úspory bez výroby,450,1246.5,43.4,185.0,50.0,0,5.6,24.9,11.0,81.6
2032,Most,S03,Úspory bez výroby,450,1240.1,43.4,185.0,50.0,0,5.6,24.9,10.0,81.6
2033,Most,S03,Úspory bez výroby,450,1233.7,43.4,185.0,50.0,0,5.6,24.9,10.0,81.6
2034,Most,S03,Úspory bez výroby,450,1227.2,43.4,185.0,50.0,0,5.7,25.0,11.0,81.6
2035,Most,S03,Úspory bez výroby,450,1220.8,43.4,185.0,50.0,0,5.7,25.0,11.0,81.6
2026,Litomerice,S03,Úspory bez výroby,280,745.9,55.2,98.0,25.0,0,4.8,24.3,9.0,43.2
2027,Litomerice,S03,Úspory bez výroby,280,742.1,55.2,98.0,50.0,0,5.5,20.3,10.0,43.2
2028,Litomerice,S03,Úspory bez výroby,280,738.4,55.2,98.0,50.0,0,5.5,20.3,10.0,43.2
2029,Litomerice,S03,Úspory bez výroby,280,734.6,55.2,98.0,50.0,0,5.5,20.3,10.0,43.2
2030,Litomerice,S03,Úspory bez výroby,280,730.9,55.2,98.0,50.0,0,5.6,20.3,10.0,43.2
2031,Litomerice,S03,Úspory bez výroby,280,727.1,55.2,98.0,50.0,0,5.6,20.4,10.0,43.2
2032,Litomerice,S03,Úspory bez výroby,280,723.4,55.2,98.0,50.0,0,5.6,20.4,10.0,43.2
2033,Litomerice,S03,Úspory bez výroby,280,719.6,55.2,98.0,50.0,0,5.7,20.4,10.0,43.2
2034,Litomerice,S03,Úspory bez výroby,280,715.9,55.2,98.0,50.0,0,5.7,20.4,10.0,43.2
2035,Litomerice,S03,Úspory bez výroby,280,712.1,55.2,98.0,50.0,0,5.8,20.4,10.0,43.2
2026,Zatec,S03,Úspory bez výroby,200,532.8,57.8,72.0,25.0,0,5.2,23.0,9.0,31.8
2027,Zatec,S03,Úspory bez výroby,200,530.1,57.8,72.0,50.0,0,6.2,17.4,11.0,31.8
2028,Zatec,S03,Úspory bez výroby,200,527.4,57.8,72.0,50.0,0,6.2,17.4,11.0,31.8
2029,Zatec,S03,Úspory bez výroby,200,524.7,57.8,72.0,50.0,0,6.2,17.4,11.0,31.8
2030,Zatec,S03,Úspory bez výroby,200,522.1,57.8,72.0,50.0,0,6.3,17.4,11.0,31.8
2031,Zatec,S03,Úspory bez výroby,200,519.4,57.8,72.0,50.0,0,6.3,17.4,11.0,31.8
2032,Zatec,S03,Úspory bez výroby,200,516.7,57.8,72.0,50.0,0,6.4,17.4,11.0,31.8
2033,Zatec,S03,Úspory bez výroby,200,514.0,57.8,72.0,50.0,0,6.4,17.4,11.0,31.8
2034,Zatec,S03,Úspory bez výroby,200,511.3,57.8,72.0,50.0,0,6.5,17.4,11.0,31.8
2035,Zatec,S03,Úspory bez výroby,200,508.7,57.8,72.0,50.0,0,6.5,17.4,11.0,31.8
2026,Bilina,S03,Úspory bez výroby,150,399.6,49.8,55.0,25.0,0,5.6,21.3,10.0,24.3
2027,Bilina,S03,Úspory bez výroby,150,397.6,49.8,55.0,50.0,0,6.9,13.8,12.0,24.3
2028,Bilina,S03,Úspory bez výroby,150,395.6,49.8,55.0,50.0,0,7.0,13.8,13.0,24.3
2029,Bilina,S03,Úspory bez výroby,150,393.5,49.8,55.0,50.0,0,7.0,13.8,12.0,24.3
2030,Bilina,S03,Úspory bez výroby,150,391.5,49.8,55.0,50.0,0,7.1,13.7,13.0,24.3
2031,Bilina,S03,Úspory bez výroby,150,389.5,49.8,55.0,50.0,0,7.1,13.7,13.0,24.3
2032,Bilina,S03,Úspory bez výroby,150,387.5,49.8,55.0,50.0,0,7.2,13.7,13.0,24.3
2033,Bilina,S03,Úspory bez výroby,150,385.5,49.8,55.0,50.0,0,7.2,13.7,13.0,24.3
2034,Bilina,S03,Úspory bez výroby,150,383.5,49.8,55.0,50.0,0,7.3,13.6,13.0,24.3
2035,Bilina,S03,Úspory bez výroby,150,381.5,49.8,55.0,50.0,0,7.3,13.6,13.0,24.3
2026,Vejprty,S03,Úspory bez výroby,80,213.1,58.8,32.0,25.0,0,7.3,15.7,13.0,14.1
2027,Vejprty,S03,Úspory bez výroby,80,212.0,58.8,32.0,50.0,0,10.0,5,18.0,14.1
2028,Vejprty,S03,Úspory bez výroby,80,211.0,58.8,32.0,50.0,0,10.1,5,18.0,14.1
2029,Vejprty,S03,Úspory bez výroby,80,209.9,58.8,32.0,50.0,0,10.1,5,18.0,14.1
2030,Vejprty,S03,Úspory bez výroby,80,208.8,58.8,32.0,50.0,0,10.2,5,18.0,14.1
2031,Vejprty,S03,Úspory bez výroby,80,207.8,58.8,32.0,50.0,0,10.3,5,18.0,14.1
2032,Vejprty,S03,Úspory bez výroby,80,206.7,58.8,32.0,50.0,0,10.4,5,18.0,14.1
2033,Vejprty,S03,Úspory bez výroby,80,205.6,58.8,32.0,50.0,0,10.5,5,18.0,14.1
2034,Vejprty,S03,Úspory bez výroby,80,204.5,58.8,32.0,50.0,0,10.6,5,18.0,14.1
2035,Vejprty,S03,Úspory bez výroby,80,203.5,58.8,32.0,50.0,0,10.6,5,18.0,14.1
2026,Dolni_Jiretin,S03,Úspory bez výroby,60,159.8,43.8,22.0,25.0,0,7.5,10.1,14.0,9.7
2027,Dolni_Jiretin,S03,Úspory bez výroby,60,159.0,43.8,22.0,50.0,0,10.5,5,19.0,9.7
